sa1_code,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_89,age_90_and_over
7021355,9.0,9.0,12.0,9.0,12.0,27.0,18.0,9.0,15.0,24.0,12.0,9.0,9.0,3.0,12.0,3.0,3.0,0.0,0.0
7021352,9.0,6.0,3.0,9.0,3.0,6.0,9.0,6.0,6.0,12.0,12.0,9.0,3.0,9.0,3.0,3.0,3.0,0.0,0.0
7021358,3.0,9.0,6.0,6.0,6.0,3.0,9.0,9.0,12.0,9.0,6.0,6.0,6.0,3.0,6.0,3.0,3.0,0.0,3.0
7021369,9.0,6.0,0.0,6.0,15.0,30.0,18.0,12.0,6.0,6.0,12.0,15.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0
7034801,0.0,6.0,21.0,6.0,12.0,12.0,0.0,3.0,6.0,18.0,12.0,6.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
7021256,12.0,21.0,9.0,6.0,12.0,9.0,9.0,12.0,18.0,12.0,6.0,9.0,15.0,3.0,3.0,0.0,3.0,0.0,0.0
7021356,9.0,9.0,9.0,12.0,12.0,9.0,3.0,9.0,12.0,18.0,12.0,12.0,9.0,6.0,9.0,3.0,3.0,3.0,3.0
7021354,0.0,3.0,3.0,3.0,3.0,18.0,9.0,12.0,6.0,12.0,15.0,6.0,6.0,3.0,6.0,6.0,0.0,0.0,3.0
7021342,12.0,9.0,12.0,15.0,12.0,9.0,9.0,15.0,24.0,15.0,15.0,9.0,9.0,15.0,12.0,6.0,3.0,0.0,0.0
7021210,3.0,6.0,12.0,6.0,21.0,15.0,9.0,6.0,9.0,15.0,15.0,9.0,6.0,6.0,3.0,3.0,6.0,0.0,0.0
7021260,6.0,9.0,12.0,12.0,9.0,3.0,9.0,6.0,12.0,12.0,15.0,15.0,6.0,9.0,6.0,6.0,0.0,3.0,0.0
7021261,6.0,9.0,9.0,9.0,15.0,18.0,15.0,9.0,15.0,6.0,12.0,12.0,12.0,3.0,9.0,3.0,0.0,0.0,0.0
7021282,9.0,6.0,15.0,12.0,12.0,18.0,15.0,15.0,12.0,24.0,12.0,6.0,9.0,9.0,6.0,3.0,3.0,0.0,0.0
7021259,6.0,15.0,9.0,18.0,6.0,6.0,6.0,6.0,12.0,6.0,9.0,6.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0
7021216,6.0,3.0,9.0,6.0,9.0,6.0,6.0,6.0,9.0,12.0,6.0,12.0,6.0,6.0,3.0,6.0,6.0,3.0,9.0
7021221,3.0,3.0,9.0,6.0,0.0,0.0,3.0,6.0,3.0,12.0,0.0,3.0,6.0,9.0,9.0,3.0,3.0,3.0,0.0
7021220,3.0,3.0,6.0,9.0,15.0,12.0,6.0,6.0,6.0,6.0,15.0,9.0,6.0,3.0,6.0,6.0,0.0,3.0,3.0
7021218,3.0,9.0,12.0,12.0,6.0,3.0,3.0,3.0,12.0,9.0,12.0,3.0,9.0,3.0,3.0,3.0,0.0,3.0,0.0
7021213,6.0,9.0,12.0,9.0,15.0,12.0,15.0,3.0,6.0,9.0,6.0,12.0,12.0,9.0,3.0,3.0,0.0,0.0,0.0
7021211,9.0,12.0,18.0,15.0,12.0,6.0,12.0,12.0,15.0,15.0,18.0,15.0,12.0,9.0,9.0,6.0,3.0,0.0,0.0
7021223,0.0,3.0,6.0,9.0,9.0,6.0,6.0,6.0,0.0,9.0,21.0,6.0,3.0,3.0,0.0,3.0,3.0,6.0,0.0
7021175,3.0,6.0,6.0,9.0,12.0,12.0,3.0,6.0,6.0,6.0,9.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0
7021188,9.0,12.0,6.0,6.0,12.0,3.0,12.0,9.0,9.0,6.0,9.0,12.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0
7021187,12.0,18.0,12.0,9.0,15.0,18.0,9.0,24.0,15.0,9.0,15.0,12.0,6.0,6.0,3.0,3.0,0.0,0.0,0.0
7021179,9.0,12.0,9.0,12.0,15.0,15.0,9.0,15.0,12.0,9.0,9.0,3.0,9.0,6.0,3.0,3.0,0.0,0.0,0.0
7021186,6.0,12.0,9.0,9.0,15.0,3.0,6.0,9.0,12.0,9.0,6.0,9.0,6.0,3.0,3.0,3.0,6.0,0.0,0.0
7021189,3.0,6.0,3.0,9.0,15.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,0.0,6.0,6.0,6.0,0.0,3.0,0.0
7021190,9.0,3.0,9.0,6.0,15.0,6.0,12.0,9.0,6.0,9.0,12.0,3.0,9.0,9.0,3.0,3.0,3.0,0.0,0.0
7021191,6.0,9.0,12.0,12.0,12.0,6.0,12.0,12.0,9.0,15.0,6.0,6.0,0.0,3.0,6.0,6.0,3.0,0.0,0.0
7021194,9.0,6.0,3.0,3.0,12.0,3.0,9.0,9.0,3.0,3.0,3.0,6.0,12.0,12.0,9.0,6.0,3.0,3.0,3.0
7021193,3.0,3.0,3.0,6.0,12.0,3.0,6.0,3.0,6.0,6.0,9.0,3.0,6.0,9.0,3.0,3.0,3.0,3.0,0.0
7021181,9.0,15.0,18.0,15.0,9.0,21.0,18.0,15.0,9.0,12.0,18.0,15.0,6.0,6.0,3.0,3.0,0.0,0.0,3.0
7021182,9.0,9.0,18.0,9.0,12.0,9.0,12.0,12.0,15.0,15.0,12.0,15.0,12.0,6.0,6.0,3.0,3.0,0.0,3.0
7021180,12.0,15.0,18.0,6.0,9.0,9.0,18.0,15.0,15.0,12.0,9.0,6.0,9.0,6.0,0.0,3.0,0.0,3.0,0.0
7021154,15.0,9.0,9.0,3.0,9.0,12.0,15.0,15.0,15.0,15.0,12.0,12.0,3.0,6.0,12.0,3.0,3.0,0.0,0.0
7021158,0.0,6.0,6.0,9.0,21.0,3.0,6.0,6.0,9.0,6.0,6.0,6.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0
7021159,3.0,0.0,12.0,9.0,3.0,3.0,9.0,9.0,6.0,9.0,6.0,6.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0
7021163,6.0,9.0,12.0,12.0,15.0,6.0,6.0,15.0,12.0,12.0,15.0,6.0,6.0,12.0,6.0,3.0,0.0,0.0,0.0
7021162,9.0,9.0,6.0,6.0,9.0,6.0,6.0,9.0,12.0,9.0,3.0,3.0,9.0,6.0,6.0,3.0,3.0,0.0,0.0
7021225,6.0,12.0,18.0,18.0,21.0,6.0,3.0,6.0,12.0,18.0,21.0,21.0,6.0,9.0,6.0,3.0,3.0,0.0,0.0
7021226,3.0,6.0,15.0,12.0,9.0,6.0,9.0,6.0,12.0,15.0,9.0,12.0,9.0,9.0,9.0,6.0,6.0,3.0,3.0
7021229,6.0,9.0,15.0,9.0,9.0,12.0,9.0,6.0,12.0,15.0,9.0,15.0,9.0,9.0,9.0,3.0,0.0,0.0,0.0
7021228,9.0,12.0,12.0,9.0,18.0,3.0,3.0,9.0,12.0,9.0,12.0,9.0,9.0,12.0,15.0,12.0,21.0,18.0,18.0
7021230,3.0,6.0,15.0,15.0,9.0,0.0,6.0,6.0,6.0,18.0,12.0,9.0,9.0,6.0,6.0,12.0,6.0,0.0,0.0
