x,y,pop_est
1751875,5433875,17.68
1752125,5433875,97.86
1752375,5433875,147.07
1752625,5433875,220.51
1752875,5433875,131.51
1753125,5433875,5.28
1757875,5433875,32.9
1758125,5433875,148.6
1758375,5433875,342.12
1758625,5433875,172.5
1758875,5433875,3.2
1743625,5434125,2.54
1743875,5434125,2.69
1746875,5434125,3.0
1750125,5434125,95.15
1750375,5434125,211.32
1750625,5434125,28.89
1750875,5434125,31.29
1751125,5434125,185.39
1751375,5434125,253.53
1751625,5434125,136.44
1751875,5434125,110.0
1752125,5434125,175.66
1752375,5434125,179.75
1752625,5434125,254.83
1752875,5434125,245.54
1753125,5434125,138.51
1753375,5434125,91.47
1753625,5434125,11.23
1753875,5434125,40.91
1754125,5434125,35.45
1754375,5434125,2.2
1757375,5434125,80.77
1757625,5434125,230.54
1757875,5434125,328.57
1758125,5434125,302.95
1758375,5434125,276.66
1758625,5434125,241.76
1758875,5434125,12.8
1743625,5434375,2.54
1745125,5434375,2.69
1745875,5434375,2.69
1746875,5434375,4.5
1750125,5434375,76.73
1750375,5434375,246.28
1750625,5434375,250.27
1750875,5434375,284.74
1751125,5434375,256.48
1751375,5434375,320.0
1751625,5434375,195.13
1751875,5434375,261.29
1752125,5434375,257.64
1752375,5434375,265.41
1752625,5434375,229.72
1752875,5434375,299.6
1753125,5434375,284.25
1753375,5434375,235.36
1753625,5434375,229.53
1753875,5434375,187.92
1754125,5434375,43.64
1756625,5434375,2.8
1756875,5434375,5.6
1757125,5434375,121.46
1757375,5434375,344.62
1757625,5434375,290.02
1757875,5434375,387.32
1758125,5434375,359.7
1758375,5434375,294.86
1758625,5434375,5.85
1743875,5434625,13.16
1745375,5434625,2.69
1750125,5434625,21.69
1750375,5434625,233.35
1750625,5434625,173.03
1750875,5434625,211.09
1751125,5434625,156.12
1751375,5434625,152.36
1751625,5434625,126.6
1751875,5434625,189.14
1752125,5434625,205.42
1752375,5434625,242.65
1752625,5434625,207.03
1752875,5434625,47.09
1753125,5434625,259.85
1753375,5434625,262.34
1753625,5434625,185.88
1753875,5434625,51.58
1755875,5434625,4.0
1756625,5434625,4.2
1757125,5434625,220.63
1757375,5434625,520.18
1757625,5434625,244.67
1757875,5434625,110.16
1758125,5434625,210.07
1758375,5434625,257.8
1758625,5434625,48.99
1758875,5434625,1.29
1743875,5434875,18.7
1745375,5434875,2.69
1747125,5434875,1.5
1747375,5434875,4.38
1750125,5434875,50.53
1750375,5434875,179.28
1750625,5434875,254.82
1750875,5434875,202.59
1751125,5434875,222.33
1751375,5434875,2.92
1751625,5434875,187.38
1751875,5434875,203.64
1752125,5434875,283.94
1752375,5434875,264.93
1752625,5434875,278.32
1752875,5434875,159.86
1753125,5434875,287.74
1753375,5434875,214.03
1753625,5434875,26.4
1755125,5434875,1.82
